1,1,764.73,960.82,259.48,156.37,0.993,0,-1
1,2,1619.93,1218.34,228.99,189.56,0.993,0,-1
1,3,958.39,0.00,147.91,123.70,0.988,0,-1
1,4,1074.80,55.11,224.04,164.34,0.988,0,-1
1,5,1430.55,667.51,178.74,247.45,0.988,0,-1
1,6,753.52,756.63,178.92,179.76,0.985,0,-1
1,7,149.74,406.51,112.29,200.60,0.984,0,-1
1,8,1351.76,376.65,218.61,160.76,0.982,0,-1
1,9,91.25,931.37,191.09,228.75,0.981,0,-1
1,10,844.69,120.13,238.18,166.07,0.980,0,-1
1,11,2206.81,509.74,146.67,195.10,0.978,0,-1
1,12,618.67,962.89,177.77,272.66,0.977,0,-1
1,13,268.99,213.88,152.01,176.22,0.974,0,-1
1,14,1445.95,1165.54,171.61,241.00,0.972,0,-1
1,15,589.05,706.76,176.78,212.39,0.972,0,-1
1,16,1778.21,1023.00,221.37,176.33,0.970,0,-1
1,17,403.41,15.42,134.24,185.14,0.970,0,-1
1,18,1786.22,1253.13,218.21,148.20,0.969,0,-1
1,19,135.66,694.55,182.15,199.52,0.969,0,-1
1,20,2039.41,313.64,197.53,167.98,0.958,0,-1
1,21,1370.26,97.79,233.34,144.19,0.958,0,-1
1,22,1348.44,479.37,158.89,147.43,0.954,0,-1
1,23,831.72,42.26,150.46,124.22,0.944,0,-1
1,24,2110.95,84.34,129.43,153.59,0.942,0,-1
1,25,340.54,1165.88,204.46,143.07,0.939,0,-1
1,26,2308.88,957.17,142.81,185.94,0.935,0,-1
1,27,98.01,1077.01,130.99,202.14,0.934,0,-1
1,28,394.74,966.15,188.88,226.26,0.932,0,-1
1,29,1480.74,0.00,236.71,145.45,0.876,0,-1
1,30,263.25,918.34,162.08,127.75,0.854,0,-1
1,31,472.50,938.03,210.29,126.07,0.840,0,-1
1,32,2232.15,110.88,148.34,139.41,0.778,0,-1
2,1,764.68,960.89,259.78,156.52,0.993,0,-1
2,2,1620.37,1217.95,229.53,189.64,0.993,0,-1
2,3,958.39,0.00,147.90,123.67,0.988,0,-1
2,4,1074.80,55.01,224.07,164.46,0.988,0,-1
